DATE,USASACRMISMEI
1982-03-01,104.991122582856
1982-04-01,97.4613487128741
1982-05-01,111.882329057504
1982-06-01,97.275099889235
1982-07-01,98.1664335452222
1982-08-01,100.294991529669
1982-09-01,112.38786157881
1982-10-01,102.556584388144
1982-11-01,119.678172675541
1982-12-01,114.835703260924
1983-01-01,109.940019896696
1983-02-01,108.76931300525
1983-03-01,110.312517543974
1983-04-01,116.046320614578
1983-05-01,120.556202844126
1983-06-01,130.320962597777
1983-07-01,128.644723185025
1983-08-01,120.250222633861
1983-09-01,119.731386625152
1983-10-01,131.850863649098
1983-11-01,127.833210453454
1983-12-01,141.056876931832
1984-01-01,138.768677098552
1984-02-01,140.604558360137
1984-03-01,136.174497055007
1984-04-01,136.573601677091
1984-05-01,142.373922184709
1984-06-01,140.125632813637
1984-07-01,140.125632813637
1984-08-01,136.107979617993
1984-09-01,133.407371675225
1984-10-01,135.549233147075
1984-11-01,137.278686509439
1984-12-01,141.61562340275
1985-01-01,143.118917479266
1985-02-01,144.196499958892
1985-03-01,142.945972143029
1985-04-01,145.56675916138
1985-05-01,147.389336935563
1985-06-01,138.728766636343
1985-07-01,137.970467854384
1985-08-01,162.834685810207
1985-09-01,188.21773977474
1985-10-01,126.117060578494
1985-11-01,130.746674194666
1985-12-01,144.741942942406
1986-01-01,152.497876098236
1986-02-01,143.651056975377
1986-03-01,131.411848564806
1986-04-01,146.364968405547
1986-05-01,150.635387861845
1986-06-01,148.586650801814
1986-07-01,144.129982521878
1986-08-01,160.187291817051
1986-09-01,200.230788899463
1986-10-01,136.467173777868
1986-11-01,136.680029576313
1986-12-01,169.978658545508
1987-01-01,111.350189561392
1987-02-01,135.748785458117
1987-03-01,137.544756257495
1987-04-01,137.890646929967
1987-05-01,128.551598773205
1987-06-01,136.626815626702
1987-07-01,139.9526874774
1987-08-01,156.475618831671
1987-09-01,148.0412078183
1987-10-01,122.871009652212
1987-11-01,127.035001209287
1987-12-01,141.575712940541
1988-01-01,145.034619665268
1988-02-01,148.254063616744
1988-03-01,144.010251135253
1988-04-01,138.369572476468
1988-05-01,140.338488612081
1988-06-01,143.278559328099
1988-07-01,137.850736467759
1988-08-01,136.879581887355
1988-09-01,132.502734531835
1988-10-01,131.544883438834
1988-11-01,135.136825037589
1988-12-01,150.302800676775
1989-01-01,134.19227743199
1989-02-01,130.959529993111
1989-03-01,128.964006882692
1989-04-01,142.706509369779
1989-05-01,136.586905164493
1989-06-01,126.595986124994
1989-07-01,129.496146378804
1989-08-01,147.495764834785
1989-09-01,137.624577181911
1989-10-01,116.618370572898
1989-11-01,113.558568470256
1989-12-01,115.993106664967
1990-01-01,138.622338737121
1990-02-01,126.103757091091
1990-03-01,126.556075662786
1990-04-01,125.119299023284
1990-05-01,121.447536500113
1990-06-01,122.724671290781
1990-07-01,121.633785323752
1990-08-01,122.285656206489
1990-09-01,128.498384823594
1990-10-01,121.793427172586
1990-11-01,114.423295151437
1990-12-01,115.487574143661
1991-01-01,103.115330859062
1991-02-01,108.835830442264
1991-03-01,113.811334730909
1991-04-01,104.658535397786
1991-05-01,108.968865316292
1991-06-01,110.698318678655
1991-07-01,113.784727756103
1991-08-01,109.168417627333
1991-09-01,110.778139603072
1991-10-01,107.132984054706
1991-11-01,109.022079265903
1991-12-01,105.097550482078
1992-01-01,107.877979349262
1992-02-01,111.403403511003
